city,grdi_tercile,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Istanbul,middle,school,9040,0.0,0.0055309734513274336,0.9082964601769912,0.004646017699115044,896218.3921521902,0.10997453338517253,9.528809547424316
Istanbul,high,health,424,0.0,0.01650943396226415,0.9316037735849056,0.01179245283018868,1127841.7844810486,0.13590188694843303,25.5550479888916
Istanbul,high,school,251,0.0,0.04780876494023904,0.8804780876494024,0.027888446215139442,868060.892364502,0.13251833085872075,25.5550479888916
Istanbul,,health,6,0.0,0.0,0.5,0.0,238485.03985404968,0.04856173648502105,
Istanbul,,school,5,0.0,0.0,0.6,0.0,173840.30627202988,0.03666735256210441,
Jakarta,middle,health,10943,0.0,0.03189253404002559,1.0,0.03189253404002559,1222595.3041992188,0.08173454992044825,11.140101432800293
Jakarta,middle,school,16755,0.0,0.041062369441957625,1.0,0.041062369441957625,1165939.70703125,0.08524194169383001,11.140101432800293
Jakarta,high,health,332,0.0,0.009036144578313253,1.0,0.009036144578313253,1234007.5825195312,0.09578799817751595,26.046911239624023
Jakarta,high,school,378,0.0,0.08465608465608465,1.0,0.08465608465608465,1156358.2788085938,0.10269822128462756,25.527421951293945
Jakarta,,school,1,0.0,0.0,0.0,0.0,354198.6072616577,0.0010396806919187494,
Johannesburg,high,health,4489,0.0,0.0,1.0,0.0,226803.15099334717,0.14277605753481096,50.08112335205078
Johannesburg,high,school,9505,0.0,0.0,1.0,0.0,304016.5023598394,0.11486860091929411,48.777042388916016
Johannesburg,,health,40,0.0,0.0,1.0,0.0,225232.87982940674,0.07207842203019241,
Johannesburg,,school,75,0.0,0.0,1.0,0.0,225975.14051628113,0.052421908682989626,
Karachi,high,health,1767,0.8664402942840973,0.054895302773061684,0.9779286926994907,0.8913412563667232,2674460.079498291,0.31322674822792146,25.90498924255371
Karachi,high,school,2572,0.9183514774494557,0.04121306376360809,0.9626749611197511,0.9210730948678072,2572219.4436216247,0.3205439126108314,25.90498924255371
Karachi,,health,2,0.0,0.5,0.5,0.5,572182.9120798004,0.11920668960393982,
Kolkata,middle,health,7360,0.9563858695652174,0.309375,0.0,0.3092391304347826,1874745.3199005127,0.11202236150117369,15.391264915466309
Kolkata,middle,school,5669,0.9469042159110954,0.28647027694478744,0.0,0.28541188922208505,1759465.7902832031,0.10975236040190604,15.391392707824707
Kolkata,high,health,1050,0.7695238095238095,0.17333333333333334,0.0,0.16666666666666666,837640.6607837677,0.0886348662480431,25.07009506225586
Kolkata,high,school,1395,0.7512544802867384,0.17992831541218637,0.0,0.16917562724014337,512068.9063720703,0.08397030722141186,29.600614547729492
Kolkata,,school,1,1.0,1.0,0.0,1.0,294872.16712760925,0.12336800454388319,
Lagos,high,health,1279,0.003127443315089914,0.07505863956215794,0.7372947615324472,0.06645817044566067,1448632.896270752,0.1196167964552571,38.448123931884766
Lagos,high,school,2994,0.006680026720106881,0.07648630594522378,0.6115564462257849,0.056112224448897796,1411576.307144165,0.10916587923989848,40.22747039794922
Lagos,,health,24,0.0,0.25,0.4166666666666667,0.125,1123468.9159607887,0.05918533795206188,
Lagos,,school,107,0.0,0.12149532710280374,0.35514018691588783,0.08411214953271028,1267649.981742859,0.049481691247215055,
Lima,low,health,963,0.0,0.0,1.0,0.0,961701.912109375,0.10635978284119303,7.216268539428711
Lima,low,school,388,0.0,0.0,1.0,0.0,950652.6694335938,0.10272513408210096,7.216268539428711
Lima,middle,health,5414,0.0,0.0033247137052087182,1.0,0.0033247137052087182,949237.957277298,0.1087056638341464,10.050383567810059
Lima,middle,school,4956,0.0,0.008071025020177562,1.0,0.008071025020177562,906176.6137390137,0.11432053363620144,10.428717613220215
Lima,high,health,5493,0.0,0.010740943018387038,1.0,0.010740943018387038,1128601.3986816406,0.1458442907150298,28.848434448242188
Lima,high,school,3804,0.0,0.02103049421661409,1.0,0.02103049421661409,1172174.744934082,0.15706657629445914,29.555696487426758
